*	* unknown
777866.89	-651532.65
777857.44	-651537.99
777851.19	-651538.45
777848.83	-651538.37
777844.90	-651534.71
777841.86	-651528.58
777838.70	-651524.76
777832.75	-651521.35
777827.54	-651518.64
777822.70	-651516.40
777815.10	-651514.09
777805.83	-651515.78
777795.00	-651515.20
777788.79	-651511.10
777783.55	-651509.96
777779.13	-651508.78
777773.60	-651507.81
777764.51	-651507.03
777759.28	-651506.11
777754.14	-651504.64
777748.78	-651504.70
777744.41	-651506.28
777739.32	-651510.27
777732.40	-651513.81
777724.39	-651514.09
777716.48	-651513.46
777708.18	-651513.73
777700.15	-651514.75
777693.16	-651516.20
777687.77	-651517.91
777680.29	-651518.51
777669.63	-651515.78
777662.93	-651514.74
777658.44	-651513.90
777651.22	-651513.35
777643.14	-651512.27
777638.53	-651511.16
777632.58	-651509.37
777626.27	-651506.48
777621.99	-651503.56
777617.08	-651501.63
777610.72	-651502.26
777604.89	-651506.50
777599.98	-651509.08
777593.14	-651509.36
777588.95	-651509.24
777582.26	-651507.43
777578.83	-651505.45
777577.14	-651500.88
777574.68	-651496.70
777568.21	-651492.28
777562.99	-651491.72
777559.71	-651492.57
777553.46	-651497.47
777547.93	-651498.23
777534.24	-651493.66
777528.52	-651492.38
777523.30	-651491.49
777518.76	-651490.42
777514.10	-651485.86
777509.50	-651482.38
777497.46	-651477.07
777493.88	-651473.85
777491.85	-651470.89
777485.85	-651465.73
777482.51	-651464.28
777477.43	-651461.58
777472.65	-651457.80
777467.91	-651454.42
777463.76	-651455.57
777459.27	-651457.94
777453.70	-651459.42
777443.07	-651460.42
777440.09	-651463.95
777436.70	-651466.95
777432.91	-651468.03
777427.96	-651468.60
777421.71	-651469.57
777417.50	-651469.64
777416.09	-651469.26
777411.52	-651467.89
777406.56	-651450.38
777407.28	-651442.52
777408.67	-651436.08
777410.72	-651429.28
777412.96	-651423.14
777417.26	-651415.34
777425.18	-651403.40
777431.86	-651384.67
777435.77	-651351.21
777439.18	-651333.81
777441.07	-651317.68
777441.68	-651298.64
777443.09	-651271.55
777444.26	-651258.78
777448.12	-651246.23
777453.30	-651234.10
777460.57	-651218.15
777463.00	-651203.65
777467.12	-651185.27
777469.82	-651168.60
777469.27	-651151.00
777468.00	-651129.34
777469.40	-651119.05
777474.69	-651109.42
777487.13	-651096.83
777497.23	-651084.54
777504.36	-651068.85
777517.76	-651031.48
777528.66	-651008.18
777534.88	-650996.47
777538.21	-650978.64
777536.23	-650942.60
777534.16	-650923.18
777533.86	-650880.55
777526.84	-650865.17
777522.86	-650853.29
777518.17	-650825.05
777508.75	-650809.14
777490.49	-650765.95
777472.99	-650735.04
777469.45	-650721.57
777462.59	-650711.82
777451.29	-650703.87
777432.37	-650691.04
777415.97	-650680.29
777398.82	-650665.71
777372.75	-650633.42
777357.10	-650623.82
777317.41	-650606.46
777298.46	-650599.71
